"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SD.BM","SD.SVL","SD.HL","SD.HW","SD.HH","SD.LJL","SD.BF"
"Gallotia galloti","M","Lacertidae",56,16,NA,110.76,29.34,19.79,16,NA,148.78
"Zootoca vivipara","M","Lacertidae",20,20,3.58,52.78,11.48,7.15,5.8,11.76,2.5
"Xenosaurus grandis","M","Xenosauridae",11,11,NA,117.29,28.77,23.27,13.76,30.75,24.06
"Xenosaurus platyceps","M","Xenosauridae",10,10,NA,105.88,26.6,23.82,12.43,29.49,16.79
"Xenosaurus newmanorum","M","Xenosauridae",7,7,NA,112.55,29.67,22.58,14.03,31.87,25.67
"Dalmatolacerta oxycephala","M","Lacertidae",34,34,NA,61.4,16.1,9.1,6.7,16.2,7.9
"Podarcis melisellensis","M","Lacertidae",25,25,NA,65.2,16,8.7,7,17.3,8.1
"Crotaphytus antiquus","M","Crotaphytidae",18,18,52.279393923934,108.461017305527,30.7941125496954,26.0455844122716,NA,NA,61.4948268171891
"Sauromalus ater","M","Iguanidae",34,34,236.781424779793,182.894284547629,35.7154759474226,30.9323807579381,17.4492855684536,NA,105.754759474226
"Urosaurus ornatus","M","Phrynosomatidae",12,12,NA,51.5677430013854,11.9835382907248,9.88569219381653,6.66497422611929,NA,6.0538715006927
"Sphenodon punctatus","M","Sphenodontidae",74,74,607.4,258.2,67.3,51.2,37.7,72.5,219.8
"Liolaemus baguali","M","Liolaemidae",6,6,NA,99.5485047901373,21.2224183067728,14.7380254607884,9.15070405081424,22.3073672810511,16.9826682807366
"Liolaemus bibronii","M","Liolaemidae",4,4,NA,56.65,12.13,8.28,5.93,12.15,3.81
"Liolaemus canqueli","M","Liolaemidae",7,7,NA,101.159803146555,19.7412155506471,12.6722481948642,9.89686269665969,20.9957906817536,16.8122088241752
"Liolaemus kriegi","M","Liolaemidae",3,3,NA,82.6386910835277,17.6099484522386,13.1074613391789,8.80798692801151,18.086550992617,9.68832013797941
"Liolaemus coeruleus","M","Liolaemidae",13,13,NA,64.6465520458805,13.4668882040742,9.95294371682888,6.24266615305568,14.0308326913196,6.37799845916704
"Liolaemus elongatus","M","Liolaemidae",7,7,NA,79.5758948468056,17.169555445762,11.0856077753236,7.13749015732775,17.1566404195407,10.1574507866388
"Liolaemus escarchadosi","M","Liolaemidae",4,4,NA,82.24,17.61,11.58,10.27,19.05,12.75
"Liolaemus fitzingerii","M","Liolaemidae",4,4,NA,100.55,20.26,14.32,10.38,20.95,19.11
"Liolaemus hatcheri","M","Liolaemidae",7,7,NA,62.169698981503,13.4656077753236,9.84143782776615,6.26206528843421,13.8078953408768,4.71018290643002
"Liolaemus kingii","M","Liolaemidae",3,3,NA,77.954242446241,16.0044486372867,11.4187048957087,8.17693575034635,16.5190896534381,10.5261662348877
"Liolaemus kolengh","M","Liolaemidae",7,7,NA,58.8636466519414,12.7343528539874,9.51143782776615,5.95560777532356,13.3278953408768,3.37372539331938
"Liolaemus mapuche","M","Liolaemidae",11,11,NA,83.6696072023047,17.2296574538782,12.246992462264,9.27332495807108,17.9828237017817,13.1569673364772
"Liolaemus morenoi","M","Liolaemidae",6,6,NA,68.9201479225204,14.8729285639896,10.4564132562731,7.26146428199482,15.2554030511288,10.1202499739638
"Liolaemus petrophilus","M","Liolaemidae",2,2,NA,95.9474429945228,21.9488939366884,14.3423759005324,8.50982756057297,23.6071782079359,10.53
"Liolaemus rothi","M","Liolaemidae",3,3,NA,87.8024079409361,17.6411920087684,13.6190381056767,9.06889727457342,19.3643970895253,6.90315353299546
"Liolaemus sarmientoi","M","Liolaemidae",4,4,NA,79.91,16.95,11.86,9.11,18.04,9.14
"Liolaemus tenuis","M","Liolaemidae",4,4,NA,57.35,13.92,9.32,6,14.56,5.9
"Liolaemus xanthoviridis","M","Liolaemidae",5,5,NA,90.8423369549492,18.0845587471749,12.5527553482999,8.95150923032491,18.5969194269499,14.4909208932248
"Liolaemus zullyae","M","Liolaemidae",5,5,NA,74.8145971347494,17.0233126291999,11.3579024325749,8.37609903369994,17.4867878707749,9.64121506177483
"Aspidoscelis sexlineatus","M","Teiidae",112,112,NA,70.6915026221292,17.5457906817536,9.49247047198325,8.10664041954067,NA,5.70579068175359
