"BinomialReptileDatabase","Sex","Family","SSM","SSBF","MAX.BM","MAX.SVL","MAX.HL","MAX.HW","MAX.HH","MAX.LJL","MAX.BF"
"Gallotia galloti","M","Lacertidae",56,16,NA,109.65,28.18,18.62,14.79,NA,108.57
"Xenosaurus grandis","M","Xenosauridae",11,11,NA,109.78,26.45,21.63,13.18,28.79,18.94
"Xenosaurus platyceps","M","Xenosauridae",10,10,NA,89.37,22.35,18.99,10.37,24.21,12.43
"Xenosaurus newmanorum","M","Xenosauridae",7,7,NA,106.42,28.06,21.65,13.31,30.07,20.38
"Dalmatolacerta oxycephala","M","Lacertidae",34,34,NA,58.4,15.1,8.2,5.8,15.9,5.9
"Anolis equestris","unknown","Dactyloidae",13,13,120,166.42,50.98,31.11,24.01,52.88,112.91
"Anolis garmani","unknown","Dactyloidae",39,39,38,117.66,33.65,19.94,15.72,35.52,32.79
"Crotaphytus antiquus","M","Crotaphytidae",18,18,54.5,108.6,30.6,26.2,26.2,NA,70.6
"Sauromalus ater","M","Iguanidae",34,34,191.3,168.9,32.8,28.6,15.7,NA,76.6
"Urosaurus ornatus","M","Phrynosomatidae",12,12,NA,52.7,12.04,10.21,6.86,NA,6.9
"Podarcis sicula","M","Lacertidae",NA,NA,6.38,69.54,16.33,9.13,7.35,17.45,11.25
"Sphenodon punctatus","M","Sphenodontidae",74,74,434.8,230.2,60.6,45.2,33.4,65.3,173
"Liolaemus baguali","M","Liolaemidae",6,6,NA,85.17,18.43,12.46,7.73,19.27,12.99
"Liolaemus bibronii","M","Liolaemidae",4,4,NA,53.87,11.69,7.64,5.45,11.71,3.27
"Liolaemus canqueli","M","Liolaemidae",7,7,NA,94.81,18.63,11.27,9.5,19.62,14.14
"Liolaemus kriegi","M","Liolaemidae",3,3,NA,78.17,16.64,12.38,7.89,17.03,8.32
"Liolaemus coeruleus","M","Liolaemidae",13,13,NA,61.69,12.89,9.34,5.81,13.49,5.08
"Liolaemus elongatus","M","Liolaemidae",7,7,NA,74.84,16.27,10.53,6.82,16.31,8.57
"Liolaemus escarchadosi","M","Liolaemidae",4,4,NA,79.64,17.27,11.22,8.95,18.01,10.41
"Liolaemus fitzingerii","M","Liolaemidae",4,4,NA,93.55,18.66,12.76,9.18,19.39,14.27
"Liolaemus hatcheri","M","Liolaemidae",7,7,NA,59.18,12.91,9.18,5.68,13.12,3.89
"Liolaemus kingii","M","Liolaemidae",3,3,NA,73.78,15.71,10.57,7.64,16.19,8.95
"Liolaemus kolengh","M","Liolaemidae",7,7,NA,55.53,12.02,8.85,5.4,12.64,2.58
"Liolaemus mapuche","M","Liolaemidae",11,11,NA,78.96,16.5,11.65,8.61,17.22,10.57
"Liolaemus morenoi","F","Liolaemidae",7,7,NA,69.03,14.22,9.92,7.05,14.48,9.09
"Liolaemus petrophilus","M","Liolaemidae",2,2,NA,90.63,19.87,13.31,7.93,21.5,10.53
"Liolaemus rothi","M","Liolaemidae",3,3,NA,79.35,16.55,12.32,8.48,18.1,5.76
"Liolaemus sarmientoi","M","Liolaemidae",4,4,NA,72.81,15.43,10.5,7.81,16.34,7.12
"Liolaemus tenuis","M","Liolaemidae",4,4,NA,53.03,12.98,8.62,5.3,13.44,5.22
"Liolaemus xanthoviridis","M","Liolaemidae",5,5,NA,82.39,16.81,11.39,7.99,17.3,11.83
"Liolaemus zullyae","M","Liolaemidae",5,5,NA,68.33,15.95,10.62,7.75,16.57,7.83
"Aspidoscelis sexlineatus","M","Teiidae",112,112,NA,65.4,16.17,8.54,7.26,NA,4.33
"Dracaena guianensis","unknown","Teiidae",4,4,NA,389,81.2,69.9,55.5,100,383.3
"Anolis carolinensis","M","Dactyloidae",56,56,NA,63.32,NA,NA,NA,NA,9.83
"Bradypodion melanocephalum","F","Chamaeleonidae",16,15,NA,57.47,11.23,7.33,6.89,11.05,13.88
"Ouroborus cataphractus","M","Cordylidae",19,19,NA,105.03,29.08,27.54,14.01,28.64,58.01
"Karusasaurus polyzonus","M","Cordylidae",16,16,NA,101.04,25.78,21.68,12.81,26.48,33.19
"Lacerta trilineata","M","Lacertidae",12,12,NA,15.8,5.41,3.25,2.81,3.39,66.43
"Uromastyx aegyptia","M","Agamidae",7,7,891.8,330,42.1,48.6,29.7,48.9,140.7
"Aspidoscelis sonorae","unknown","Teiidae",51,51,NA,70.68,NA,10.24,8.65,NA,5.88
"Cophosaurus texanus","unknown","Phrynosomatidae",29,29,NA,60.71,NA,10.32,7.86,NA,4.23
"Crotaphytus collaris","unknown","Crotaphytidae",6,6,NA,72.26,NA,17.08,11.05,NA,11.79
"Elgaria kingii","unknown","Anguidae",15,15,NA,80.12,NA,9.93,7.11,NA,5.96
"Sceloporus clarkii","unknown","Phrynosomatidae",49,49,NA,80.98,NA,17.35,11.68,NA,14.17
"Sceloporus magister","unknown","Phrynosomatidae",8,8,NA,62.63,NA,13.39,9.3,NA,8.32
"Sceloporus undulatus","unknown","Phrynosomatidae",68,68,NA,58.19,NA,11.45,7.96,NA,5.81
"Uta stansburiana","unknown","Phrynosomatidae",3,3,NA,46.77,NA,9.02,6.07,NA,2.88
"Gallotia atlantica","M","Lacertidae",20,20,21,91.1,21.4,14,9.7,23.9,29.7
"Gallotia bravoana","M","Lacertidae",14,14,210.5,184.5,46.1,31.6,23.4,48.2,133.3
"Gallotia caesaris","M","Lacertidae",7,7,27.6,96.9,24.9,14.9,11.9,27,40.1
"Gallotia intermedia","M","Lacertidae",1,1,123,154.8,42.3,28.4,20.3,34.6,121.9
"Gallotia simonyi","M","Lacertidae",11,11,446.2,236.5,56.8,40.7,30.3,61.1,143
"Gallotia stehlini","M","Lacertidae",16,16,235.4,189.1,48.2,32.2,24.3,51.6,124.1
"Ctenophorus maculosus","M","Agamidae",32,32,12.5,70.21,NA,15.55,10.15,20.14,14
"Anolis aquaticus","M","Dactyloidae",10,10,NA,60,15.5,8.4,6.9,15.7,13.2
"Anolis lionotus","M","Dactyloidae",10,9,NA,66.5,16.8,8.8,7.2,16.9,13.9
"Anolis oxylophus","M","Dactyloidae",5,5,NA,61.1,15.7,8.5,7.1,15.8,8
"Anolis poecilopus","M","Dactyloidae",17,17,NA,66.8,16.6,9.1,7.1,16.9,12.6
"Podarcis erhardii","M","Lacertidae",187,187,11.1,81.68,17.7,12.3,9.7,15.35,21.34
"Anolis lineatopus","M","Lacertidae",58,58,3.11,51.6,15.86,8.39,6.34,16.19,3.4
"Anolis auratus","F","Lacertidae",22,22,NA,46.03,11.81,6.13,4.85,11.89,2.87
"Anolis humilis","F","Lacertidae",11,11,NA,35.16,10.33,5.64,4.32,10.32,2.13
"Anolis limifrons","F","Lacertidae",23,23,NA,39.24,10.89,5.56,4.24,10.64,1.96
"Anolis pentaprion","F","Lacertidae",1,1,NA,46.63,13.23,7.67,5.6,12.76,3.95
"Anolis frenatus","M","Lacertidae",2,2,NA,114.62,28.84,16.36,13.36,29.72,27.29
"Anolis chloris","M","Lacertidae",4,4,NA,59.41,16.42,8.65,6.82,16.54,5.86
" Anolis heterodermus","M","Lacertidae",6,6,NA,71.34,20.97,10.56,9.3,20.4,17.54
"Anolis gundlachi","M","Lacertidae",28,28,NA,63.25,19.8,10.44,8.6,19.92,6.65
"Anolis pulchellus","M","Lacertidae",36,36,NA,42.13,13.43,6.3,5.36,13.68,2.52
"Anolis distichus","M","Lacertidae",83,83,NA,46.81,13.27,8.59,6.1,13.44,2.8
"Anolis valencienni","M","Lacertidae",23,23,NA,67.47,19.89,9.59,7.97,19.96,6.7
"Bradypodion caeruleogula","M","Chamaeleonidae",6,6,NA,46.11,NA,NA,NA,NA,6.14
"Bradypodion caffer","M","Chamaeleonidae",6,6,NA,61.96,NA,NA,NA,NA,14.78
"Bradypodion damaranum","M","Chamaeleonidae",19,19,NA,65.46,NA,NA,NA,NA,24.01
"Bradypodion kentanicum","F","Chamaeleonidae",2,5,NA,51.98,NA,NA,NA,NA,7.88
"Bradypodion nemorale","F","Chamaeleonidae",19,20,NA,56.64,NA,NA,NA,NA,9.32
"Bradypodion occidentale","F","Chamaeleonidae",9,9,NA,86.58,NA,NA,NA,NA,33.9
"Bradypodion pumilum","M","Chamaeleonidae",27,27,NA,62.07,NA,NA,NA,NA,16.09
"Bradypodion setaroi","F","Chamaeleonidae",15,15,NA,58.33,NA,NA,NA,NA,11.98
"Bradypodion thamnobates","F","Chamaeleonidae",17,12,NA,66.34,NA,NA,NA,NA,34.25
"Bradypodion transvaalense","F","Chamaeleonidae",10,10,NA,66.14,NA,NA,NA,NA,17.45
"Bradypodion ventrale","F","Chamaeleonidae",19,19,NA,67.47,NA,NA,NA,NA,12.66
"Bradypodion taeniabronchum","M","Chamaeleonidae",21,32,NA,50.13,NA,NA,NA,NA,3.65
"Trogonophis wiegmanni","unknown","Trogonophidae",25,25,6.79,156.36,6.85,5.05,4.04,NA,8
"Carlia triacantha","unknown","Scincidae",2,2,2.75,44.81,8.92,7.81,NA,NA,0.41
"Cryptoblepharus metallicus","unknown","Scincidae",11,8,1,35.7,7.91,5.19,NA,NA,0.12
"Ctenotus robustus","unknown","Scincidae",15,12,16.6,90.53,15.04,11.64,NA,NA,3.74
"Ctenotus inornatus","unknown","Scincidae",10,9,5.4,63.99,12.42,8.84,NA,NA,1.26
"Eremiascincus isolepis","unknown","Scincidae",5,5,3,53.11,9.68,7.23,NA,NA,0.32
"Anolis allisoni","M","Dactyloidae",9,9,NA,70.79,24.55,14.45,7.59,23.44,5.25
"Anolis angusticeps","M","Dactyloidae",57,57,NA,43.65,13.49,6.17,4.57,13.8,1.58
"Anolis bahorucoensis","M","Dactyloidae",30,30,NA,38.9,13.18,6.31,5.13,13.49,2.14
"Anolis baracoae","M","Dactyloidae",2,2,NA,123.03,41.69,13.8,17.38,41.69,23.99
"Anolis barahonae","M","Dactyloidae",32,32,NA,147.91,44.67,25.7,22.91,45.71,48.98
"Anolis brevirostris","M","Dactyloidae",64,64,NA,44.67,13.49,8.13,5.89,13.18,3.98
"Anolis brunneus","M","Dactyloidae",53,53,NA,61.66,19.5,9.12,6.61,20.89,4.57
"Anolis coelestinus","M","Dactyloidae",70,70,NA,61.66,19.05,10.23,7.94,19.5,10
"Anolis cuvieri","M","Dactyloidae",10,10,NA,131.83,42.66,21.88,19.05,41.69,72.44
"Anolis cybotes","M","Dactyloidae",61,61,NA,57.54,19.95,11.75,9.55,19.5,11.75
"Anolis evermanni","M","Dactyloidae",60,60,NA,54.95,16.22,9.33,6.92,16.98,2.69
"Anolis grahami","M","Dactyloidae",23,23,NA,58.88,17.78,10,7.24,18.62,4.79
"Anolis krugi","M","Dactyloidae",39,39,NA,38.9,12.88,6.76,5.89,12.88,1.91
"Anolis olssoni","M","Dactyloidae",29,29,NA,43.65,12.3,5.89,5.13,13.18,2.57
"Anolis singularis","M","Dactyloidae",16,16,NA,38.9,12.3,6.76,5.25,12.88,2.51
"Anolis smaragdinus","M","Dactyloidae",54,54,NA,53.7,16.6,8.32,5.75,17.38,2.88
"Anolis stratulus","M","Dactyloidae",38,38,NA,44.67,13.8,7.76,5.5,13.8,1.82
"Anolis sheplani","F","Dactyloidae",16,16,NA,37.15,10.47,4.37,4.27,10.72,1.23
"Acanthodactylus aureus","M","Lacertidae",3,3,NA,72.35,18.73,11.17,9.16,NA,5.83
"Acanthodactylus erythrurus","M","Lacertidae",7,7,NA,72.5,17.75,11.65,9.27,NA,9.7
"Iberolacerta monticola","M","Lacertidae",6,6,NA,73.28,17.96,11.18,7.89,NA,12.91
"Lacerta schreiberi","M","Lacertidae",7,7,NA,95.57,24.58,17.01,13.22,NA,34.23
"Zootoca vivipara","M","Lacertidae",8,8,NA,52.63,11.54,7.19,5.71,NA,2.29
"Podarcis peloponnesiacus","M","Lacertidae",9,9,NA,75.5,19.66,11.83,9.67,NA,13.45
"Psammodromus hispanicus","M","Lacertidae",6,6,NA,41.1,10.72,6.56,5.24,NA,2.26
"Takydromus sexlineatus","M","Lacertidae",9,9,NA,54.45,13.73,6.24,5.43,NA,0.56
"Dipsosaurus dorsalis","M","Iguanidae",10,10,NA,125.74,22.38,19.15,14.17,NA,18.99
"Callisaurus draconoides","M","Phrynosomatidae",12,12,NA,83.04,15.66,12.59,8.8,NA,4.79
"Pogona vitticeps","M","Agamidae",8,8,NA,217.76,38.1,48.37,29.06,NA,112.39
"Stellagama stellio","M","Agamidae",4,4,NA,95.79,23.64,23.42,12.93,NA,22.23
"Uromastix acanthinura","M","Agamidae",4,4,NA,159.46,31.79,32.69,18.81,NA,68.39
"Smaug mossambicus","M","Cordylidae",5,5,NA,109.03,30.29,24.93,13.92,NA,19.31
"Eulamprus heatwolei","M","Scincidae",3,3,NA,109.17,21.37,13.7,11.24,NA,16.66
"Corucia zebrata","M","Scincidae",2,2,NA,275,50.6,48.88,36.03,NA,206.85
"Tiliqua rugosa","M","Scincidae",13,13,NA,282.44,45.9,51.64,33.21,NA,161.64
"Psammodromus algirus","M","Lacertidae",9,9,NA,74.84,18.34,11.61,8.77,NA,11.52
"Podarcis lilfordi","M","Lacertidae",8,8,NA,62.08,16.44,9.63,7.71,NA,10.71
"Aspidoscelis tigris","M","Teiidae",5,5,NA,77.26,18.97,10.28,8.87,NA,6.69
"Varanus exanthematicus","M","Varanidae",7,7,NA,237.9,48.01,33.58,23.99,NA,86.61
"Acanthodactylus pardalis","M","Lacertidae",5,5,NA,59,14.4,9.5,8.1,NA,4.9
"Archaeolacerta bedriagae","M","Lacertidae",14,14,NA,67.9,18.3,10.9,6.9,NA,7.2
"Lacerta bilineata","M","Lacertidae",2,2,NA,90.4,24.4,15.8,11.8,NA,23.3
"Latastia longicaudata","M","Lacertidae",3,3,NA,90.4,20.5,11.2,9.5,NA,7
"Podarcis liolepis","M","Lacertidae",6,6,NA,63.7,16,9.1,7.2,NA,7.8
"Podarcis hispanicus","M","Lacertidae",10,10,NA,55.4,14.3,8.4,5.9,NA,4.3
"Podarcis tiliguerta","M","Lacertidae",18,18,NA,55.1,14.6,7.9,6,NA,3.6
"Anolis cristatellus","M","Dactyloidae",35,35,10,67.6,17.76,12.95,10.27,20.68,33.366
"Anolis oculatus","M","Dactyloidae",61,61,15.12,86.8,21.66,15.42,12.33,25.24,40.602
"Gekko gecko ","M","Gekkonidae",5,5,33.7,123.9,NA,NA,NA,NA,29.1
"Eurolophosaurus nanuzae","unknown","Tropiduridae",29,29,NA,53.74,NA,NA,NA,NA,29.91
"Tropidurus hispidus","unknown","Tropiduridae",31,31,NA,94.6,NA,NA,NA,NA,45.02
"Tropidurus semitaeniatus","unknown","Tropiduridae",30,30,NA,69.48,NA,NA,NA,NA,24.56
"Anolis sagrei","M","Dactyloidae",27,27,NA,58.13,16.27,NA,NA,NA,7.99
