"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SD.BM","SD.SVL","SD.HL","SD.HW","SD.HH","SD.LJL","SD.BF"
"Podarcis muralis","F","Lacertidae",21,21,5.86,61.9,13.05,7.49,5.94,13.57,13.57
"Zootoca vivipara","F","Lacertidae",16,16,3.33,55.65,10.24,6.51,4.95,10.67,1.86
"Xenosaurus grandis","F","Xenosauridae",10,10,NA,120.59,29.28,23.67,14.24,30.55,23.23
"Xenosaurus platyceps","F","Xenosauridae",15,15,NA,119.25,27.5,23.73,12.57,30.47,14.95
"Xenosaurus newmanorum","F","Xenosauridae",13,13,NA,118.18,28.55,22.47,13.58,30.72,20.91
"Dalmatolacerta oxycephala","F","Lacertidae",13,13,NA,58.3,14.2,7.8,5.5,15,3.6
"Podarcis melisellensis","F","Lacertidae",13,13,NA,53.7,11.9,6.3,5,13.3,2.7
"Crotaphytus antiquus","F","Crotaphytidae",12,12,30.1569219381653,92.1105117766515,24.0856406460551,19.2928203230276,NA,NA,22.5712812921102
"Sauromalus ater","F","Iguanidae",15,15,203.9852751738,166.404635050209,28.1364916731037,22.6618950038622,13.349193338483,NA,28.4459666924148
"Urosaurus ornatus","F","Phrynosomatidae",9,9,NA,54.18,11.4,9.24,6.29,NA,5.06
"Sphenodon punctatus","F","Sphenodontidae",70,70,334.8,214.2,54.5,40.5,29.7,57.9,143.9
"Liolaemus baguali","F","Liolaemidae",2,2,NA,85.5376659402887,16.2535533905933,11.7861017305527,8.0916652224137,16.9569848480984,12.9031580054004
"Liolaemus bibronii","F","Liolaemidae",4,4,NA,59.04,11.82,8.27,5.71,11.86,3.06
"Liolaemus canqueli","F","Liolaemidae",4,4,NA,93,17.96,12.33,8.64,18.71,13.37
"Liolaemus kriegi","F","Liolaemidae",5,5,NA,80.0571514830997,16.534852915725,11.96193495505,7.56304951684997,17.4344271909999,6.46970583144992
"Liolaemus coeruleus","F","Liolaemidae",5,5,NA,65.8414781741248,12.924295634825,9.60429563482495,6.04721359549996,13.6479024325749,4.62386991009991
"Liolaemus elongatus","F","Liolaemidae",9,9,NA,69.67,15.1,9.63,6.3,15.31,7.81
"Liolaemus escarchadosi","F","Liolaemidae",2,2,NA,69.5769343417595,15.0329646455628,9.43225396744416,6.02828427124746,15.215391052434,4.88
"Liolaemus fitzingerii","F","Liolaemidae",6,6,NA,95.906754972391,18.6863112048298,12.1213622305515,8.73787753826796,19.0077754868246,12.0717142559586
"Liolaemus hatcheri","F","Liolaemidae",5,5,NA,59.7513776741499,11.9677708764,8.90304951684997,5.49124611797498,12.305410196625,2.88832815729997
"Liolaemus kingii","F","Liolaemidae",7,7,NA,81.3562606596657,15.9453854982045,10.4862352359916,7.41269274910227,16.459555445762,9.85287565553229
"Liolaemus kolengh","F","Liolaemidae",4,4,NA,58.42,12.12,8.75,5.36,12.07,2.69
"Liolaemus mapuche","F","Liolaemidae",5,5,NA,75.5268573145496,14.7166563146,10.2183281573,7.94609903369994,15.2013776741499,7.96580486514986
"Liolaemus morenoi","F","Liolaemidae",7,7,NA,72.4430191912733,14.7491502622129,10.3433202097703,7.20874507866387,15.1149803146555,10.0424704719833
"Liolaemus petrophilus","F","Liolaemidae",7,7,NA,85.4712409743212,19.159960629311,12.2518430113152,7.68955544576196,20.0074507866388,9.46866633728588
"Liolaemus rothi","F","Liolaemidae",3,3,NA,92.643304475317,19.3516660498395,14.3738199529313,9.48903810567666,20.9121916386721,7.20989690447714
"Liolaemus sarmientoi","F","Liolaemidae",2,2,NA,74.9969848480984,15.11,10.5201219330882,7.91041630560343,15.9641421356237,5.99740115370178
"Liolaemus tenuis","F","Liolaemidae",3,3,NA,56.638498704663,12.9987048957087,7.72105117766515,5.17105117766515,12.8021023553303,4.26693575034635
