"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SE.BM","SE.SVL","SE.HL","SE.HW","SE.HH","SE.LJL","SE.BF"
"Gallotia galloti","M","Lacertidae",56,16,NA,109.798329989261,28.3350115203092,18.7763478265188,14.951693051357,NA,118.6225
"Podarcis muralis","F","Lacertidae",21,21,4.71859811974455,56.9356836029986,12.2291287847478,7.02874855523924,5.48656637633688,12.2253347712059,12.2253347712059
"Zootoca vivipara","M","Lacertidae",20,20,3.16074767078499,50.3809450050474,11.029691942695,6.87049844718999,5.51273451516749,11.247580486515,2.17391485505499
"Xenosaurus grandis","M","Xenosauridae",11,11,NA,112.044350197779,27.1495063194204,22.1244786051075,13.3548765798551,29.3809622353724,20.4837380842382
"Xenosaurus platyceps","M","Xenosauridae",10,10,NA,94.590920416938,23.6939680055716,20.5173801098613,11.0214291979947,25.8796826045689,13.8087530598334
"Xenosaurus newmanorum","M","Xenosauridae",7,7,NA,108.736922219547,28.6685228015449,22.0015069598986,13.5821344205666,30.7503360514166,22.3794320622188
"Dalmatolacerta oxycephala","M","Lacertidae",34,34,NA,58.9144957554275,15.2714985851425,8.35434872662826,5.95434872662826,15.9514495755428,6.24299717028502
"Podarcis melisellensis","M","Lacertidae",25,25,NA,61.76,15.12,8.14,6.44,16.5,6.98
"Anolis garmani","unknown","Dactyloidae",39,39,18.5546763318346,87.6720988390711,24.9240035243579,13.9724741690788,11.0715934321816,26.2768458151136,12.4751405688653
"Crotaphytus antiquus","M","Crotaphytidae",18,18,43.2,102.3,28.2,24.1,NA,NA,48.2
"Sauromalus ater","M","Iguanidae",34,34,199.1,171.3,33.3,29,16,NA,81.6
"Urosaurus ornatus","M","Phrynosomatidae",12,12,NA,50.04,11.54,9.59,6.32,NA,5.29
"Sphenodon punctatus","M","Sphenodontidae",74,74,454.864342447183,233.454933884827,61.3788591795836,45.8974858324629,33.8998648465984,66.1369829989555,178.440389493211
"Liolaemus baguali","M","Liolaemidae",6,6,NA,91.04,19.57,13.39,8.31,20.51,14.62
"Liolaemus bibronii","M","Liolaemidae",4,4,NA,55.26,11.91,7.96,5.69,11.93,3.54
"Liolaemus canqueli","M","Liolaemidae",7,7,NA,97.21,19.05,11.8,9.65,20.14,15.15
"Liolaemus kriegi","M","Liolaemidae",3,3,NA,80.75,17.2,12.8,8.42,17.64,9.11
"Liolaemus coeruleus","M","Liolaemidae",13,13,NA,62.51,13.05,9.51,5.93,13.64,5.44
"Liolaemus elongatus","M","Liolaemidae",7,7,NA,76.63,16.61,10.74,6.94,16.63,9.17
"Liolaemus escarchadosi","M","Liolaemidae",4,4,NA,80.94,17.44,11.4,9.61,18.53,11.58
"Liolaemus fitzingerii","M","Liolaemidae",4,4,NA,97.05,19.46,13.54,9.78,20.17,16.69
"Liolaemus hatcheri","M","Liolaemidae",7,7,NA,60.31,13.12,9.43,5.9,13.38,4.2
"Liolaemus kingii","M","Liolaemidae",3,3,NA,76.19,15.88,11.06,7.95,16.38,9.86
"Liolaemus kolengh","M","Liolaemidae",7,7,NA,56.79,12.29,9.1,5.61,12.9,2.88
"Liolaemus mapuche","M","Liolaemidae",11,11,NA,80.38,16.72,11.83,8.81,17.45,11.35
"Liolaemus morenoi","F","Liolaemidae",7,7,NA,70.32,14.42,10.08,7.11,14.72,9.45
"Liolaemus petrophilus","M","Liolaemidae",2,2,NA,94.39,21.34,14.04,8.34,22.99,10.53
"Liolaemus rothi","M","Liolaemidae",3,3,NA,84.23,17.18,13.07,8.82,18.83,6.42
"Liolaemus sarmientoi","M","Liolaemidae",4,4,NA,76.36,16.19,11.18,8.46,17.19,8.13
"Liolaemus tenuis","M","Liolaemidae",4,4,NA,55.19,13.45,8.97,5.65,14,5.56
"Liolaemus xanthoviridis","M","Liolaemidae",5,5,NA,86.17,17.38,11.91,8.42,17.88,13.02
"Liolaemus zullyae","M","Liolaemidae",5,5,NA,71.23,16.43,10.95,8.03,16.98,8.64
"Aspidoscelis sexlineatus","M","Teiidae",112,112,NA,65.9,16.3,8.63,7.34,NA,4.46
"Dracaena guianensis","unknown","Teiidae",4,4,NA,408.05,84.5,74,58.5,104.25,427.4
"Anolis carolinensis","M","Dactyloidae",56,56,NA,63.88,NA,NA,NA,NA,10.2
"Bradypodion melanocephalum","F","Chamaeleonidae",16,15,NA,57.7075,11.4425,7.4775,7.0075,11.265,14.9411974368608
"Bradypodion thamnobates","F","Chamaeleonidae",25,25,NA,67.084,14.722,10.36,9.15,14.172,28.01
"Ouroborus cataphractus","M","Cordylidae",19,19,NA,106.411082717901,29.4631242755638,28.0034197824185,14.2141800031448,28.9634761847575,61.0704058898333
"Karusasaurus polyzonus","M","Cordylidae",16,16,NA,102.865,26.235,22.1825,13.095,26.9325,36.5975
"Lacerta trilineata","M","Lacertidae",12,12,NA,14.3337306695895,4.47877132402715,2.5616580753731,2.27279056191361,2.97124355652982,70.0124584203216
"Uromastyx aegyptia","M","Agamidae",7,7,488.813760484825,240.21430760888,34.78515361184,36.1904550971904,22.6759884689053,40.0788790051593,102.381375834523
"Bradypodion pumilum","unknown","Chamaeleonidae",10,10,10.79,68.4,NA,NA,NA,NA,14.03
"Bradypodion occidentale","unknown","Chamaeleonidae",10,10,17.4,80.85,NA,NA,NA,NA,14.81
"Aspidoscelis sonorae","unknown","Teiidae",51,51,NA,72.08,NA,10.41,8.79,NA,6.23
"Cophosaurus texanus","unknown","Phrynosomatidae",29,29,NA,62.27,NA,10.51,8.06,NA,4.58
"Crotaphytus collaris","unknown","Crotaphytidae",6,6,NA,77.38,NA,18.07,11.69,NA,13.72
"Elgaria kingii","unknown","Anguidae",15,15,NA,83.49,NA,10.37,7.38,NA,6.74
"Sceloporus clarkii","unknown","Phrynosomatidae",49,49,NA,83.39,NA,17.8,12,NA,15.02
"Sceloporus magister","unknown","Phrynosomatidae",8,8,NA,65.9,NA,13.93,9.69,NA,9.41
"Sceloporus undulatus","unknown","Phrynosomatidae",68,68,NA,58.9,NA,11.59,8.05,NA,6.02
"Uta stansburiana","unknown","Phrynosomatidae",3,3,NA,47.57,NA,9.34,6.36,NA,3.09
"Ctenophorus maculosus","M","Agamidae",32,32,10.7110229073212,66.395026785031,NA,14.4866726188958,9.47308504678942,18.9378858223314,9.43679455198398
"Anolis aquaticus","M","Dactyloidae",10,10,NA,61.92,15.94,8.68,7.12,16.2,15
"Anolis lionotus","M","Dactyloidae",10,9,NA,69.1,17.33,9.07,7.47,17.48,15.4
"Anolis oxylophus","M","Dactyloidae",5,5,NA,64.03,16.13,8.93,7.49,16.53,9.3
"Anolis poecilopus","M","Dactyloidae",17,17,NA,67.74,16.83,9.22,7.21,17.14,13.4
