"BinomialReptileDatabase","Sex","Family","SSM","SSBF","SE.BM","SE.SVL","SE.HL","SE.HW","SE.HH","SE.LJL","SE.BF"
"Podarcis muralis","F","Lacertidae",21,21,4.71859811974455,56.9356836029986,12.2291287847478,7.02874855523924,5.48656637633688,12.2253347712059,12.2253347712059
"Zootoca vivipara","F","Lacertidae",16,16,2.775,51.7425,9.775,6.195,4.68,10.1975,1.53
"Xenosaurus grandis","F","Xenosauridae",10,10,NA,115.051444904736,27.6868106948192,22.4186968118108,13.5015259872982,29.1209160309752,19.859002886463
"Xenosaurus platyceps","F","Xenosauridae",15,15,NA,103.887299006664,24.24349312599,20.6811974368608,11.1531598794171,26.6497242821979,12.2720979919873
"Xenosaurus newmanorum","F","Xenosauridae",13,13,NA,97.8807642559834,24.0984766043737,19.0374129660349,11.6360717639229,25.7698481720714,15.4539932407502
"Dalmatolacerta oxycephala","F","Lacertidae",13,13,NA,54.3976905298081,13.4773500981126,7.29414506867883,5.06641005886757,14.2050851079239,3.09414506867883
"Podarcis melisellensis","F","Lacertidae",13,13,NA,51.9656402354703,11.610940039245,6.08320502943378,4.78320502943378,12.9386750490563,2.48320502943378
"Crotaphytus antiquus","F","Crotaphytidae",12,12,27.2,89.4,23.1,18.8,NA,NA,20.6
"Sauromalus ater","F","Iguanidae",15,15,165.2,155.2,26.7,21.8,12.2,NA,22.7
"Urosaurus ornatus","F","Phrynosomatidae",9,9,NA,51.82,11.04,8.96,6.11,NA,4.46
"Sphenodon punctatus","F","Sphenodontidae",70,70,280.122369663967,201.256986055722,51.682473154987,38.2107594384269,28.1151411496802,54.9063777271737,123.120739518029
"Liolaemus baguali","F","Liolaemidae",2,2,NA,84.44,16.15,11.55,7.81,16.87,12.17
"Liolaemus bibronii","F","Liolaemidae",4,4,NA,57.51,11.6,8.04,5.57,11.69,2.76
"Liolaemus canqueli","F","Liolaemidae",4,4,NA,90.85,17.5,11.8,8.33,18.24,12.16
"Liolaemus kriegi","F","Liolaemidae",5,5,NA,78.03,16.3,11.69,7.39,16.94,6
"Liolaemus coeruleus","F","Liolaemidae",5,5,NA,64.42,12.64,9.32,5.8,13.24,4.08
"Liolaemus elongatus","F","Liolaemidae",9,9,NA,65.31,14.36,9.17,6.02,14.51,6.73
"Liolaemus escarchadosi","F","Liolaemidae",2,2,NA,69.2,14.83,9.25,6.02,15,4.88
"Liolaemus fitzingerii","F","Liolaemidae",6,6,NA,92.37,18.15,11.73,8.39,18.37,11.26
"Liolaemus hatcheri","F","Liolaemidae",5,5,NA,59.43,11.77,8.73,5.38,12.12,2.74
"Liolaemus kingii","F","Liolaemidae",7,7,NA,77.39,15.32,10.19,7.1,15.9,9.03
"Liolaemus kolengh","F","Liolaemidae",4,4,NA,57.54,11.91,8.6,5.26,11.89,2.52
"Liolaemus mapuche","F","Liolaemidae",5,5,NA,73.03,14.42,10.07,7.6,14.88,7.15
"Liolaemus morenoi","F","Liolaemidae",7,7,NA,70.32,14.42,10.08,7.11,14.72,9.45
"Liolaemus petrophilus","F","Liolaemidae",7,7,NA,81.11,18.37,11.61,7.13,19.02,7.79
"Liolaemus rothi","F","Liolaemidae",3,3,NA,87.68,18.4,13.51,8.94,19.88,6.39
"Liolaemus sarmientoi","F","Liolaemidae",2,2,NA,74.91,15.11,10.4,7.84,15.96,5.84
"Liolaemus tenuis","F","Liolaemidae",3,3,NA,54.64,12.64,7.56,5.01,12.48,4.04
"Liolaemus xanthoviridis","F","Liolaemidae",2,2,NA,86.53,17.33,11.42,8.35,17.14,10.91
"Liolaemus zullyae","F","Liolaemidae",3,3,NA,69.62,14.81,9.86,7.27,15.59,5.47
"Anolis carolinensis","F","Dactyloidae",40,40,NA,50.88,NA,NA,NA,NA,3.04
"Bradypodion melanocephalum","F","Chamaeleonidae",16,15,NA,57.7075,11.4425,7.4775,7.0075,11.265,14.9411974368608
"Bradypodion thamnobates","F","Chamaeleonidae",25,25,NA,67.084,14.722,10.36,9.15,14.172,28.01
"Ouroborus cataphractus","F","Cordylidae",20,20,NA,100.923496074707,27.3250363612325,25.08727242921,13.05416407865,26.8531741286475,41.7424542353723
"Karusasaurus polyzonus","F","Cordylidae",20,20,NA,106.717667097735,26.3863413129175,21.7621184005575,12.90782971011,26.7165905365125,31.5609588938024
"Lacerta trilineata","F","Lacertidae",12,12,NA,12.416824680357,3.69835680518387,1.7921687836487,1.56299782133525,2.1721687836487,41.7336275740666
"Uromastyx aegyptia","F","Agamidae",5,5,484.970550358089,252.729368265932,37.2514920628797,38.3877814864646,22.8532088505348,42.5259192538796,98.5818008941785
"Anolis sagrei","F","Dactyloidae",38,37,2.36,45.9,NA,NA,NA,NA,2.16
"Anolis aquaticus","F","Dactyloidae",9,9,NA,54.95,14.46,8.02,6.54,14.51,10.4
"Anolis lionotus","F","Dactyloidae",11,11,NA,59.07,15,8.14,6.38,15.16,11.1
"Anolis oxylophus","F","Dactyloidae",7,7,NA,56.77,14.07,7.95,6.48,14.33,7.6
"Anolis poecilopus","F","Dactyloidae",7,7,NA,60.95,15.31,8.55,6.44,15.4,10.8
