BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,bf_plus_sd,bm_plus_sd,svl_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis heterodermus,M,Dactyloidae,Iguania,6,6,21.65,NA,75.33,22.43,11.4,10.21,21.66,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Ablepharus kitaibelii,M,Scincidae,Scincoidea,6,6,0.55,1.1300000000000001,43.77,7.1499999999999995,4.03,2.89,6.710000000000001,Paleartic,Terrestrial,Carnivorous,NA,NA,NA
Acanthodactylus pardalis,M,Lacertidae,Lacertoidea,5,5,5.6000000000000005,NA,60.8,14.8,9.9,8.5,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Anolis allisoni,M,Dactyloidae,Iguania,9,9,7.390000000000001,NA,71.99000000000001,25.810000000000002,15.799999999999999,8.85,24.67,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis angusticeps,M,Dactyloidae,Iguania,57,57,3.4400000000000004,NA,44.769999999999996,14.61,7.32,5.720000000000001,14.950000000000001,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis aquaticus,M,Dactyloidae,Iguania,10,10,18.89209978830308,NA,66.07157310752329,16.891402170474088,9.285437744847147,7.595701085237044,17.28113883008419,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis auratus,M,Dactyloidae,Iguania,23,23,2.63,NA,45.720000000000006,12.309999999999999,6.22,5.0600000000000005,12.180000000000001,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis bahorucoensis,M,Dactyloidae,Iguania,30,30,3.96,NA,40.129999999999995,14.35,7.459999999999999,6.279999999999999,14.66,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis baracoae,M,Dactyloidae,Iguania,2,2,25.139999999999997,NA,124.05,42.71,14.82,18.43,42.739999999999995,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis barahonae,M,Dactyloidae,Iguania,32,32,50.88999999999999,NA,149.2,45.96,26.96,24.17,46.97,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis brevirostris,M,Dactyloidae,Iguania,64,64,5.43,NA,45.77,14.56,9.23,7.01,14.25,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis brunneus,M,Dactyloidae,Iguania,53,53,6.15,NA,62.809999999999995,20.65,10.27,7.76,22.04,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis carolinensis,M,Dactyloidae,Iguania,56,56,12.598826466212717,NA,67.51065627318681,NA,NA,NA,NA,Neartic,Arboreal,Carnivorous,NA,NA,NA
Anolis chloris,M,Dactyloidae,Iguania,4,4,7.04,NA,60.669999999999995,17.23,8.97,7.0600000000000005,17.04,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis coelestinus,M,Dactyloidae,Iguania,70,70,11.379999999999999,NA,62.76,20.12,11.33,9.040000000000001,20.57,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis cristatellus,M,Dactyloidae,Iguania,35,35,25.810000000000002,8.63,64.27,16.66,12.19,9.82,19.73,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cuvieri,M,Dactyloidae,Iguania,10,10,73.78999999999999,NA,132.88000000000002,43.709999999999994,22.95,20.12,42.739999999999995,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cybotes,M,Dactyloidae,Iguania,61,61,13.53,NA,58.74,21.15,12.98,10.81,20.7,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis distichus,M,Dactyloidae,Iguania,83,83,4.14,NA,50.11,14.2,9.52,6.8,14.59,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis equestris,M,Dactyloidae,Iguania,10,10,88.42,NA,173.26999999999998,53.14,32.01,23.19,53.79,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis evermanni,M,Dactyloidae,Iguania,60,60,4.2,NA,56.1,17.34,10.45,8.04,18.1,Neotropic,Arboreal,Carnivorous,NA,Omnivorous,13.5
Anolis frenatus,M,Dactyloidae,Iguania,2,2,42.81,NA,140.98000000000002,35.3,20.169999999999998,16.56,36.89,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis garmani,M,Dactyloidae,Iguania,23,23,13.88,NA,92.55,27.62,15.799999999999999,13.1,28.86,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis grahami,M,Dactyloidae,Iguania,23,23,6.27,NA,59.95,18.85,11.1,8.36,19.69,Neotropic,Arboreal/Saxicolous,Omnivorous,NA,NA,NA
Anolis gundlachi,M,Dactyloidae,Iguania,28,28,8.47,NA,67.26,20.94,11.24,9.45,21.060000000000002,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis humilis,M,Dactyloidae,Iguania,30,30,2.24,NA,34.629999999999995,10.41,5.87,4.59,10.33,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis krugi,M,Dactyloidae,Iguania,39,39,3.77,NA,40.1,14.05,7.96,7.09,14.05,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis limifrons,M,Dactyloidae,Iguania,26,26,1.74,NA,43.29,11.14,5.8100000000000005,4.510000000000001,10.82,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lineatopus,M,Dactyloidae,Iguania,58,58,4.82,4.26,57.47,17.919999999999998,9.49,7.17,18.400000000000002,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lionotus,M,Dactyloidae,Iguania,10,9,18.4,NA,74.7219219164378,18.476007159889242,9.653814968245463,8.053814968245463,18.73412104289766,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis oculatus,M,Dactyloidae,Iguania,61,61,30.65,10.48,74.42,19.49,13.2,10.37,23.169999999999998,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis olssoni,M,Dactyloidae,Iguania,29,29,3.9799999999999995,NA,44.72,13.350000000000001,6.9399999999999995,6.23,14.33,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis oxylophus,M,Dactyloidae,Iguania,5,5,10.906888370749726,NA,67.65167917407439,16.66150923032491,9.461509230324909,7.972066511224917,17.432329623574848,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis poecilopus,M,Dactyloidae,Iguania,17,17,15.898484500494128,NA,70.6757192880806,17.548314293892062,9.594772675074118,7.553541618817943,17.889545350148236,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis pulchellus,M,Dactyloidae,Iguania,39,39,3.88,NA,42.79,14.33,7.37,6.54,14.64,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis sagrei,M,Dactyloidae,Iguania,27,27,10.23,NA,63.980000000000004,17.79,NA,NA,NA,Neotropic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Anolis sheplani,M,Dactyloidae,Iguania,9,9,2.34,NA,39.97,12.290000000000001,5.640000000000001,5.57,12.530000000000001,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis singularis,M,Dactyloidae,Iguania,16,16,4.42,NA,40,13.4,7.88,6.4,14,Neotropic,Arboreal,NA,NA,NA,NA
