BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis heterodermus,F,Lacertidae,15,15,17.604024069704952,NA,71.74697567001392,20.071764745414292,10.041067178412899,8.894919333848296,19.536928723209233,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Ablepharus kitaibelii,F,Scincidae,5,5,0.22788854381999832,0.8181377674149946,42.34926621796994,6.444413302244983,3.5528591269649903,2.5549705831449923,5.945469030334984,Paleartic,Terrestrial,Carnivorous,NA,NA,NA
Anolis allisoni,F,Dactyloidae,7,7,2.5480484858633794,NA,55.373320209770334,20.38465914396061,8.743320209770335,5.923320209770335,18.203320209770336,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis angusticeps,F,Dactyloidae,26,26,1.8002518800045124,NA,40.015921941895094,11.685921941895094,5.345727748652003,4.015727748652003,11.685921941895094,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis aquaticus,F,Dactyloidae,9,9,10.4,NA,54.949999999999996,14.46,8.02,6.54,14.51,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis auratus,F,Lacertidae,22,22,2.9979204298133664,NA,46.38604519631387,11.873960214906683,6.181168171925346,4.886244121780454,11.964620250724463,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis bahorucoensis,F,Dactyloidae,22,22,1.4068571318418646,NA,31.858784802318283,10.954520787991171,5.598124766500503,4.608784802318284,10.954520787991171,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis baracoae,F,Dactyloidae,3,3,16.14458946838995,NA,112.86395280956808,38.71282032302756,22.090140831103238,15.16014083110324,37.00282032302756,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis barahonae,F,Dactyloidae,7,7,41.216235235991626,NA,141.6468626966597,44.04686269665969,24.405760920310147,21.294421986119875,44.05442198611987,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis brevirostris,F,Dactyloidae,32,32,2.1380419369326615,NA,39.0891510639674,12.205615530061468,7.429151063967402,5.567989898732233,11.935615530061469,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis brunneus,F,Dactyloidae,24,24,2.0421037349432587,NA,46.98841283539817,14.014330352493529,6.828412835398167,4.908619042659763,14.348412835398168,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis carolinensis,F,Dactyloidae,40,40,3.04,NA,50.88,NA,NA,NA,NA,Neartic,Arboreal,Carnivorous,NA,NA,NA
Anolis chloris,F,Lacertidae,4,4,3.87,NA,55.5,14.084999999999999,7.87,5.7,14.225,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis coelestinus,F,Dactyloidae,26,26,3.524368395950367,NA,46.97984426459786,14.655921941895093,7.795921941895093,5.959844264597857,14.995921941895093,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis cristatellus,F,Dactyloidae,18,18,4.89755675768253,2.1612825877028343,42.6660491817317,11.1067073110294,7.583137084989847,6.436066017177982,12.867851130197758,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cuvieri,F,Dactyloidae,9,9,49.41,NA,123.38,40.160000000000004,19.856666666666666,18.136666666666667,38.370000000000005,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cybotes,F,Dactyloidae,44,44,5.0944748172526575,NA,45.871308569349104,15.651308569349103,9.07583123951777,7.248846352963548,15.651308569349103,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis distichus,F,Lacertidae,75,75,1.4781273317643757,NA,41.382531541055364,11.790436732841135,7.404663230149238,5.362746133917893,11.674293139301685,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis equestris,F,Lacertidae,2,2,26.06317892581091,NA,134.40066017177983,45.08885822331377,25.447279220613577,18.26844191771034,44.150660171779826,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis evermanni,F,Dactyloidae,44,44,1.669952147083991,NA,45.87583123951777,13.961308569349104,7.921308569349104,5.911308569349104,14.291308569349104,Neotropic,Arboreal,Carnivorous,NA,Omnivorous,13.5
Anolis frenatus,F,Lacertidae,3,3,10.90837168574084,NA,75.8776319313961,20.323730669589466,11.990747728811183,9.9918802153517,20.92920072342739,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis garmani,F,Dactyloidae,16,16,5.915,NA,74.42999999999999,21.177500000000002,11.7725,9.2025,22.1675,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis grahami,F,Dactyloidae,17,17,1.6619752313012295,NA,44.929513118788876,13.975071250072666,7.506789187539966,5.521639900040693,14.059513118788876,Neotropic,Arboreal/Saxicolous,Omnivorous,NA,NA,NA
Anolis gundlachi,F,Dactyloidae,19,19,2.4721813526607908,NA,45.95088652056409,14.364004048547974,7.824004048547973,6.13088652056409,14.04088652056409,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis humilis,F,Lacertidae,11,11,2.3410579412044346,NA,35.92885392867329,10.474725445397327,5.757589424385327,4.458695218505771,10.518997487421323,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis krugi,F,Dactyloidae,14,14,1.465546638030388,NA,31.94071349029491,10.328731327552282,5.927350428199288,4.992695653037536,10.55071349029491,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis limifrons,F,Lacertidae,23,23,2.0621720628879667,NA,39.76337117928326,11.021364080855959,5.639235477341688,4.304639468357694,10.760938360153103,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lineatopus,F,Dactyloidae,44,44,1.8009068067466583,NA,43.808293455903325,13.038293455903327,6.918293455903326,5.291308569349104,13.338293455903326,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lionotus,F,Dactyloidae,11,11,11.1,NA,59.07,15,8.14,6.38,15.16,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis oculatus,F,Dactyloidae,15,15,13.15959931473302,4.435288945259804,55.808490480498506,14.448485189515427,9.277501322745767,7.237501322745769,16.840494578876367,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis olssoni,F,Dactyloidae,31,31,1.3909605892833754,NA,39.09756583222945,10.91217767316865,5.322177673168649,4.467565832229452,11.41217767316865,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis oxylophus,F,Dactyloidae,7,7,7.6,NA,56.769999999999996,14.07,7.95,6.4799999999999995,14.33,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis poecilopus,F,Dactyloidae,7,7,10.799999999999999,NA,60.95,15.31,8.55,6.4399999999999995,15.4,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis pulchellus,F,Lacertidae,7,7,3.3190811300804843,NA,41.68123043136885,13.579081130080485,6.553320209770335,5.360642341389781,13.900894379952238,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis sagrei,F,Dactyloidae,38,37,2.1599999999999997,2.36,45.9,NA,NA,NA,NA,Neotropic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Anolis sheplani,F,Dactyloidae,16,16,1.7075,NA,37.43,10.75,4.6450000000000005,4.55,10.995000000000001,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis singularis,F,Dactyloidae,18,18,1.6384062043356595,NA,34.14398653164298,11.009913780286485,6.445771644662753,4.939272486435067,11.479272486435068,Neotropic,Arboreal,NA,NA,NA,NA
Anolis smaragdinus,F,Dactyloidae,51,51,1.3572414524361454,NA,44.819829968991,13.329829968990996,6.609829968990997,4.526831369411137,13.639829968990997,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis stratulus,F,Dactyloidae,28,28,1.2411092167103979,NA,38.22221099305994,11.948431348329844,6.8178804601550755,5.107880460155076,11.948431348329844,Neotropic,Arboreal,Carnivorous,NA,NA,NA
