BinomialReptileDatabase,Sex,Family,SSM,SSBF,bf_plus_se,bm_plus_se,svl_plus_se,hl_plus_se,hw_plus_se,hh_plus_se,ljl_plus_se,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis heterodermus,M,Lacertidae,6,6,19.217900473806477,NA,72.96891067895082,21.566042504077238,10.902928563989645,9.671505944322115,20.914392845984466,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Ablepharus kitaibelii,M,Scincidae,6,6,0.4553197264742181,1.0708248290463864,42.527321409974114,6.871876696518015,3.905732140997411,2.777567175188134,6.254351183657175,Paleartic,Terrestrial,Carnivorous,NA,NA,NA
Acanthodactylus pardalis,M,Lacertidae,5,5,5.213049516849971,NA,59.80498447189992,14.578885438199984,9.678885438199984,8.278885438199984,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Acontias kgalagadi,unknown,Scincidae,5,5,1.338885438199983,2.236216701119973,121.5312845055495,7.489134661794979,3.6894427190999917,3.614603692129964,5.852052622469986,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Acontias litoralis,unknown,Scincidae,47,42,0.7593176364927975,1.4556392461740524,110.76719345852497,6.082737142263084,3.052300847534389,2.5779248977894524,5.2008573935384,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Acontias meleagris,unknown,Scincidae,6,6,9.712599474121038,10.90350762782201,200.91077706617952,10.870908153700972,6.177423461417477,4.784536559755124,8.143568016938081,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Acontias percivali,unknown,Scincidae,12,12,10.963345911860127,18.333582932395704,250.43266567974328,14.26682468035705,8.21650635094611,7.182072594216369,13.469393102292058,Afrotropic,Fossorial,Carnivorous,NA,NA,NA
Anolis allisoni,M,Dactyloidae,9,9,5.963333333333333,NA,71.19000000000001,24.970000000000002,14.899999999999999,8.01,23.85,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis angusticeps,M,Dactyloidae,57,57,1.8263630184140982,NA,43.79834762399128,13.638347623991285,6.32232122106248,4.72232122106248,13.95232122106248,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis aquaticus,M,Dactyloidae,10,10,15,NA,61.92,15.94,8.68,7.12,16.2,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis auratus,F,Lacertidae,22,22,2.9979204298133664,NA,46.38604519631387,11.873960214906683,6.181168171925346,4.886244121780454,11.964620250724463,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis bahorucoensis,M,Dactyloidae,30,30,2.472285018219801,NA,39.12456624857712,13.393611797427015,6.519960313710313,5.339960313710313,13.703611797427016,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis baracoae,M,Dactyloidae,2,2,24.80317279836453,NA,123.75124891681028,42.41124891681028,14.52124891681028,18.122462120245874,42.43246212024587,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis barahonae,M,Dactyloidae,32,32,49.31764348801657,NA,148.13804193693267,44.898041936932664,25.922738636073763,23.132738636073764,45.932738636073765,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis brevirostris,M,Dactyloidae,64,64,4.16125,NA,44.807500000000005,13.62375,8.2675,6.029999999999999,13.313749999999999,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis brunneus,M,Dactyloidae,53,53,4.787029691038929,NA,61.817964648540986,19.657964648540993,9.277964648540992,6.7679646485409926,21.047964648540994,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis carolinensis,M,Dactyloidae,56,56,10.2,NA,63.88,NA,NA,NA,NA,Neartic,Arboreal,Carnivorous,NA,NA,NA
Anolis chloris,M,Lacertidae,4,4,6.45,NA,60.04,16.825000000000003,8.81,6.94,16.79,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis coelestinus,M,Dactyloidae,70,70,10.164941548088146,NA,61.79147514702678,19.17788946119878,10.361475147026784,8.071475147026783,19.62788946119878,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis cristatellus,M,Dactyloidae,35,35,21.896135307954264,7.4417141168523555,61.18710445700856,15.845650233926788,11.57508282969982,9.230011904171448,18.7245273296443,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cuvieri,M,Dactyloidae,10,10,72.86690748412273,NA,132.16203915431768,42.99203915431767,22.218363709638016,19.388363709638018,42.022039154317675,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cybotes,M,Dactyloidae,61,61,11.977905646280554,NA,57.69364425591947,20.103644255919473,11.907485362317463,9.71132646871545,19.653644255919474,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis distichus,M,Lacertidae,83,83,2.9470841083861847,NA,47.17222205796598,13.37208076179041,8.692080761790411,6.176834981992783,13.566228898988143,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis equestris,M,Lacertidae,10,10,67.35981519331861,NA,162.38434603498806,50.51431462150465,29.876630629972535,21.651512473537885,51.02756017470803,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis evermanni,M,Dactyloidae,60,60,2.8849401617591064,NA,55.09846436160462,16.36459137825841,9.47459137825841,7.06459137825841,17.124591378258412,Neotropic,Arboreal,Carnivorous,NA,Omnivorous,13.5
Anolis frenatus,M,Lacertidae,2,2,38.26429724401522,NA,133.2593347520774,33.4079098064651,19.054076836320746,15.62274169979695,34.789955621107545,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis garmani,unknown,Dactyloidae,39,39,12.475140568865276,18.554676331834603,87.67209883907107,24.924003524357897,13.972474169078824,11.071593432181617,26.276845815113575,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis grahami,M,Dactyloidae,23,23,5.098601332804471,NA,59.10311042304107,18.003110423041072,10.229365855462783,7.473536143743924,18.84311042304107,Neotropic,Arboreal/Saxicolous,Omnivorous,NA,NA,NA
Anolis gundlachi,M,Lacertidae,28,28,6.993947670438397,NA,64.0078187683835,20.01543974961526,10.59118578920369,8.76063490102892,20.135439749615262,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis humilis,F,Lacertidae,11,11,2.3410579412044346,NA,35.92885392867329,10.474725445397327,5.757589424385327,4.458695218505771,10.518997487421323,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis krugi,M,Dactyloidae,39,39,2.207838366077462,NA,39.0921537845661,13.067349939951953,6.9521537845661046,6.0821537845661044,13.067349939951953,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis limifrons,F,Lacertidae,23,23,2.0621720628879667,NA,39.76337117928326,11.021364080855959,5.639235477341688,4.304639468357694,10.760938360153103,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lineatopus,M,Lacertidae,58,58,3.586455134660806,3.2610023977886806,52.37076876088657,16.130491251691026,8.534437076145695,6.4489843392735695,16.48018721661999,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lionotus,M,Dactyloidae,10,9,15.4,NA,69.1,17.330000000000002,9.07,7.470000000000001,17.479999999999997,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis oculatus,M,Dactyloidae,61,61,24.94736119476114,8.465765192644989,69.36261390361081,17.99022343348458,12.188522780722158,9.489317248732224,21.15576519264499,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis olssoni,M,Dactyloidae,29,29,2.831830426829643,NA,43.848694011849446,12.494980105085904,6.084980105085904,5.3342648719947565,13.39354963890361,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis oxylophus,M,Dactyloidae,5,5,9.3,NA,64.03,16.13,8.93,7.489999999999999,16.53,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis poecilopus,M,Dactyloidae,17,17,13.4,NA,67.74,16.830000000000002,9.219999999999999,7.21,17.139999999999997,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis pulchellus,F,Lacertidae,7,7,3.3190811300804843,NA,41.68123043136885,13.579081130080485,6.553320209770335,5.360642341389781,13.900894379952238,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis sagrei,M,Dactyloidae,27,27,8.421088200994921,NA,59.255833024919774,16.56252413638941,NA,NA,NA,Neotropic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
