Citation,BinomialStudy,BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten,BinominalMieri,Notes
"Wittorski, et al., 2016", Anolis heterodermus, Anolis heterodermus,Neotropic,Arboreal,Carnivorous,,,,,
"Handschuh, et al., 2020",Ablepharus kitaibelii,Ablepharus kitaibelii,Paleartic,Terrestrial,Carnivorous,,,,,
"Verwaijen & Van Damme, 2007",Acanthodactylus aureus,Acanthodactylus aureus,Paleartic,Terrestrial,Carnivorous,,,,,
"Verwaijen & Van Damme, 2007",Acanthodactylus erythrurus,Acanthodactylus erythrurus,Paleartic,Terrestrial,Carnivorous,,Omnivorous,65.5,,
"Herrel, et al., 2004",Acanthodactylus pardalis,Acanthodactylus pardalis,Paleartic,Terrestrial,Carnivorous,Carnivorous,,,,
"Guilloux, et al., 2020",Acontias kgalagadi,Acontias kgalagadi,Afrotropic,Fossorial,Carnivorous,,,,,
"Guilloux, et al., 2020",Acontias litoralis,Acontias litoralis,Afrotropic,Fossorial,Carnivorous,,,,,
"Guilloux, et al., 2020",Acontias meleagris,Acontias meleagris,Afrotropic,Fossorial,Carnivorous,,,,,
"Guilloux, et al., 2020",Acontias percivali,Acontias percivali,Afrotropic,Fossorial,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis allisoni,Anolis allisoni,Neotropic,Arboreal,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis angusticeps,Anolis angusticeps,Neotropic,Arboreal,Carnivorous,,,,,
"Munoz, et al., 2015",Anolis aquaticus,Anolis aquaticus,Neotropic,Semi-Aquatic,Carnivorous,,,,,
"Wittorski, et al., 2016",Anolis auratus,Anolis auratus,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis bahorucoensis,Anolis bahorucoensis,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis baracoae,Anolis baracoae,Neotropic,Arboreal,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis barahonae,Anolis barahonae,Neotropic,Arboreal,Omnivorous,,,,,
"Meyer, et al., 2019",Anolis brevirostris,Anolis brevirostris,Neotropic,Arboreal,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis brunneus,Anolis brunneus,Neotropic,Arboreal,Carnivorous,,,,,
"Herrel, et al., 2007",Anolis carolinensis,Anolis carolinensis,Neartic,Arboreal,Carnivorous,,,,,
"Wittorski, et al., 2016",Anolis chloris,Anolis chloris,Neotropic,Arboreal,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis coelestinus,Anolis coelestinus,Neotropic,Arboreal,Carnivorous,,,,,
"Wittorski, et al., 2016",Anolis cristatellus,Anolis cristatellus,Neotropic,Arboreal/Terrestrial,Omnivorous,,,,,
"Meyer, et al., 2019",Anolis cuvieri,Anolis cuvieri,Neotropic,Arboreal/Terrestrial,Omnivorous,,,,,
"Meyer, et al., 2019",Anolis cybotes,Anolis cybotes,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Wittorski, et al., 2016",Anolis distichus,Anolis distichus,Neotropic,Arboreal,Carnivorous,,,,,
"Herrel & O'Reilly, 2006",Anolis equestris,Anolis equestris,Neotropic,Arboreal,Omnivorous,,,,,
"Meyer, et al., 2019",Anolis evermanni,Anolis evermanni,Neotropic,Arboreal,Carnivorous,,Omnivorous,13.5,,Probably omnivorous as 13.5% plant material eaten
"Wittorski, et al., 2016",Anolis frenatus,Anolis frenatus,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Herrel & O'Reilly, 2006",Anolis garmani,Anolis garmani,Neotropic,Arboreal,Omnivorous,,,,,
"Meyer, et al., 2019",Anolis grahami,Anolis grahami,Neotropic,Arboreal/Saxicolous,Omnivorous,,,,,
"Wittorski, et al., 2016",Anolis gundlachi,Anolis gundlachi,Neotropic,Arboreal,Carnivorous,,,,,
"Wittorski, et al., 2016",Anolis humilis,Anolis humilis,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Meyer, et al., 2019",Anolis krugi,Anolis krugi,Neotropic,Arboreal,Carnivorous,,,,,
"Wittorski, et al., 2016",Anolis limifrons,Anolis limifrons,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
"Herrel, et al., 2006",Anolis lineatopus,Anolis lineatopus,Neotropic,Arboreal/Terrestrial,Carnivorous,,,,,
