BinomialReptileDatabase,Sex,Family,HigherTaxonomy,SSM,SSBF,max_bf,max_bm,max_svl,max_hl,max_hw,max_hh,max_ljl,MainBiogeographicRealm,Lifestyle,MieriDiet,MetzgerHerrelDiet,CooperDiet,PercentPlantMatterEaten
Anolis heterodermus,F,Dactyloidae,Iguania,15,15,16.69,NA,70.74,19.78,9.85,8.74,19.24,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Ablepharus kitaibelii,F,Scincidae,Scincoidea,5,5,0.21,0.76,41.75,6.27,3.45,2.47,5.78,Paleartic,Terrestrial,Carnivorous,NA,NA,NA
Acanthodactylus pardalis,F,Lacertidae,Lacertoidea,1,1,1.88,NA,60.69,13.42,8.35,6.69,NA,Paleartic,Terrestrial,Carnivorous,Carnivorous,NA,NA
Anolis allisoni,F,Dactyloidae,Iguania,7,7,2,NA,54.95,19.95,8.32,5.5,17.78,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis angusticeps,F,Dactyloidae,Iguania,26,26,1.51,NA,39.81,11.48,5.13,3.8,11.48,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis aquaticus,F,Dactyloidae,Iguania,9,9,9,NA,52.4,13.9,7.7,6.3,13.9,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis auratus,F,Dactyloidae,Iguania,22,22,2.87,NA,46.03,11.81,6.13,4.85,11.89,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis bahorucoensis,F,Dactyloidae,Iguania,22,22,1.07,NA,31.62,10.72,5.37,4.37,10.72,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis baracoae,F,Dactyloidae,Iguania,3,3,15.14,NA,112.2,38.02,21.38,14.45,36.31,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis barahonae,F,Dactyloidae,Iguania,7,7,40.74,NA,141.25,43.65,23.99,20.89,43.65,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis brevirostris,F,Dactyloidae,Iguania,32,32,1.91,NA,38.9,12.02,7.24,5.37,11.75,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis brunneus,F,Dactyloidae,Iguania,24,24,1.74,NA,46.77,13.8,6.61,4.68,14.13,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis carolinensis,F,Dactyloidae,Iguania,40,40,2.94,NA,50.43,NA,NA,NA,NA,Neartic,Arboreal,Carnivorous,NA,NA,NA
Anolis chloris,F,Dactyloidae,Iguania,4,4,3.18,NA,52.55,13.6,7.48,5.42,13.52,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis coelestinus,F,Dactyloidae,Iguania,26,26,3.24,NA,46.77,14.45,7.59,5.75,14.79,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis cristatellus,F,Dactyloidae,Iguania,18,18,7.906,2.53,45.22,12.04,8.07,7.34,13.5,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cuvieri,F,Dactyloidae,Iguania,9,9,48.98,NA,123.03,39.81,19.5,17.78,38.02,Neotropic,Arboreal/Terrestrial,Omnivorous,NA,NA,NA
Anolis cybotes,F,Dactyloidae,Iguania,44,44,4.9,NA,45.71,15.49,8.91,7.08,15.49,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis distichus,F,Dactyloidae,Iguania,75,75,1.41,NA,41.08,11.72,7.34,5.29,11.59,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis equestris,F,Dactyloidae,Iguania,2,2,21.17,NA,133.34,43.71,25.32,17.13,43.09,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis evermanni,F,Dactyloidae,Iguania,44,44,1.48,NA,45.71,13.8,7.76,5.75,14.13,Neotropic,Arboreal,Carnivorous,NA,Omnivorous,13.5
Anolis frenatus,F,Dactyloidae,Iguania,3,3,10.51,NA,73.88,19.96,11.5,9.53,20.45,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis garmani,F,Dactyloidae,Iguania,16,16,5.5,NA,74.13,20.89,11.48,8.91,21.88,Neotropic,Arboreal,Omnivorous,NA,NA,NA
Anolis grahami,F,Dactyloidae,Iguania,17,17,1.32,NA,44.67,13.49,7.24,5.25,13.8,Neotropic,Arboreal/Saxicolous,Omnivorous,NA,NA,NA
Anolis gundlachi,F,Dactyloidae,Iguania,19,19,2.23,NA,46.02,14.15,7.57,5.85,13.95,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis humilis,F,Dactyloidae,Iguania,11,11,2.13,NA,35.16,10.33,5.64,4.32,10.32,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis krugi,F,Dactyloidae,Iguania,14,14,1.07,NA,31.62,10,5.62,4.68,10.23,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis limifrons,F,Dactyloidae,Iguania,23,23,1.96,NA,39.24,10.89,5.56,4.24,10.64,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lineatopus,F,Dactyloidae,Iguania,45,45,1.66,1.86,44.02,13,6.79,5.12,13.14,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis lionotus,F,Dactyloidae,Iguania,11,11,10,NA,57.1,14.6,7.9,6.2,14.7,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis oculatus,F,Dactyloidae,Iguania,15,15,24.187,6.82,61.82,15.43,10.62,8.59,19.79,Neotropic,Arboreal/Terrestrial,Carnivorous,NA,NA,NA
Anolis olssoni,F,Dactyloidae,Iguania,31,31,1.1,NA,38.9,10.72,5.13,4.27,11.22,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis oxylophus,F,Dactyloidae,Iguania,7,7,6.6,NA,55.3,13.8,7.7,6.3,14,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis pentaprion,F,Dactyloidae,Iguania,1,1,3.95,NA,46.63,13.23,7.67,5.6,12.76,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis poecilopus,F,Dactyloidae,Iguania,7,7,10.1,NA,59.6,15,8.4,6.3,15.1,Neotropic,Semi-Aquatic,Carnivorous,NA,NA,NA
Anolis pulchellus,F,Dactyloidae,Iguania,7,7,2.48,NA,40.09,12.74,6.13,4.96,12.99,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis sagrei,F,Dactyloidae,Iguania,38,37,2.09,2.29,50.65,NA,NA,NA,NA,Neotropic,Arboreal/Saxicolous,Carnivorous,NA,NA,NA
Anolis sheplani,F,Dactyloidae,Iguania,16,16,1.23,NA,37.15,10.47,4.37,4.27,10.72,Neotropic,Arboreal,Carnivorous,NA,NA,NA
Anolis singularis,F,Dactyloidae,Iguania,18,18,1.2,NA,33.88,10.72,6.17,4.68,11.22,Neotropic,Arboreal,NA,NA,NA,NA
Anolis smaragdinus,F,Dactyloidae,Iguania,51,51,1.15,NA,44.67,13.18,6.46,4.37,13.49,Neotropic,Arboreal,Carnivorous,NA,NA,NA
