Citation,Year,Journal,Family,BinomialStudy,BinomialReptileDatabase,Sex,Age,SSM,SSBF,SC,BM,BM.SD,BM.SE,BM.MIN,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MIN,SVL.MAX,HL,HL.SD,HL.SE,HL.MIN,HL.MAX,HW,HW.SD,HW.SE,HW.MIN,HW.MAX,HH,HH.SD,HH.SE,HH.MIN,HH.MAX,BF,BF.SD,BF.SE,BF.MIN,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MIN,LJL.MAX,DataQuality,Notes
"Herrel, et al., 1999 ",1999,Func Ecol,Lacertidae,Gallotia galloti,Gallotia galloti,JV,JV,97,64,Metal,NA,NA,NA,NA,NA,58.88,1.25,NA,NA,NA,14.79,1.2,NA,NA,NA,8.91,1.25,NA,NA,NA,6.76,1.25,NA,NA,NA,2.38,1.01,NA,NA,NA,NA,NA,NA,NA,NA,Ok,Discrepancy in sample sizes between methods and results. I used the sample sizes included in the table with the morph measurements and BF values.
"Herrel, et al., 1999 ",1999,Func Ecol,Lacertidae,Gallotia galloti,Gallotia galloti,F,A,83,22,Metal,NA,NA,NA,NA,NA,93.33,1.09,NA,NA,NA,22.13,1.09,NA,NA,NA,14.13,1.11,NA,NA,NA,11.22,1.13,NA,NA,NA,33.51,14.2,NA,NA,NA,NA,NA,NA,NA,NA,Ok,NA
"Herrel, et al., 1999 ",1999,Func Ecol,Lacertidae,Gallotia galloti,Gallotia galloti,M,A,56,16,Metal,NA,NA,NA,NA,NA,109.65,1.11,NA,NA,NA,28.18,1.16,NA,NA,NA,18.62,1.17,NA,NA,NA,14.79,1.21,NA,NA,NA,108.57,40.21,NA,NA,NA,NA,NA,NA,NA,NA,Ok,NA
"Herrel et al., 2001b",2001,Can J Zool,Lacertidae,Podarcis muralis,Podarcis muralis,F,A,21,21,Metal,4.4,1.46,NA,NA,NA,55.55,6.35,NA,NA,NA,12,1.05,NA,NA,NA,6.9,0.59,NA,NA,NA,5.36,0.58,NA,NA,NA,11.85,1.72,NA,NA,NA,11.85,1.72,NA,NA,NA,Good,Nice plot showing logHL against logBFFig3b
"Herrel et al., 2001b",2001,Can J Zool,Lacertidae,Podarcis muralis,Podarcis muralis,M,A,16,16,Metal,4.73,1.29,NA,NA,NA,56.25,5.56,NA,NA,NA,14.08,1.3,NA,NA,NA,7.95,0.75,NA,NA,NA,6.31,0.77,NA,NA,NA,6.52,3.01,NA,NA,NA,13.53,1.66,NA,NA,NA,Good,NA
"Herrel, et al., 2001a",2001,Can J Zool,Lacertidae,Lacerta vivipara,Zootoca vivipara,F,A,16,16,Metal,2.59,0.74,NA,NA,NA,50.44,5.21,NA,NA,NA,9.62,0.62,NA,NA,NA,6.09,0.42,NA,NA,NA,4.59,0.36,NA,NA,NA,1.42,0.44,NA,NA,NA,10.04,0.63,NA,NA,NA,Ok,"Now recognised as Zootoca vivipara, methods state 16 A-F, results state 17 A-F"
"Herrel, et al., 2001a",2001,Can J Zool,Lacertidae,Lacerta vivipara,Zootoca vivipara,M,A,20,20,Metal,3.04,0.54,NA,NA,NA,49.69,3.09,NA,NA,NA,10.9,0.58,NA,NA,NA,6.79,0.36,NA,NA,NA,5.43,0.37,NA,NA,NA,2.08,0.42,NA,NA,NA,11.1,0.66,NA,NA,NA,Ok,NA
"Herrel, et al., 2001a",2001,J Exp Zool,Xenosauridae,Xenosaurus grandis,Xenosaurus grandis,M,A,11,11,Metal,NA,NA,NA,NA,NA,109.78,7.51,NA,NA,NA,26.45,2.32,NA,NA,NA,21.63,1.64,NA,NA,NA,13.18,0.58,NA,NA,NA,18.94,5.12,NA,NA,NA,28.79,1.96,NA,NA,NA,Good,Crevice dwelling lifestyle = flat head shape in these 3 taxa
"Herrel, et al., 2001a",2001,J Exp Zool,Xenosauridae,Xenosaurus grandis,Xenosaurus grandis,F,A,10,10,Metal,NA,NA,NA,NA,NA,112.49,8.1,NA,NA,NA,26.95,2.33,NA,NA,NA,21.84,1.83,NA,NA,NA,13.16,1.08,NA,NA,NA,18.3,4.93,NA,NA,NA,28.46,2.09,NA,NA,NA,Good, 
"Herrel, et al., 2001a",2001,J Exp Zool,Xenosauridae,Xenosaurus platyceps,Xenosaurus platyceps,M,A,10,10,Metal,NA,NA,NA,NA,NA,89.37,16.51,NA,NA,NA,22.35,4.25,NA,NA,NA,18.99,4.83,NA,NA,NA,10.37,2.06,NA,NA,NA,12.43,4.36,NA,NA,NA,24.21,5.28,NA,NA,NA,Good,NA
