family,genus,species,toothtype,diet,biteforce,biteforce_unit,svl,hd,sex,source
Dactyloidae,anolis,Anolis carolinensis,Pleurodont,Insectivorous,9.827,Mean,63.32,NA,Male,Edwards and Leilvaux (2013)
Dactyloidae,anolis,Anolis carolinensis,Pleurodont,Insectivorous,2.936,Mean,50.43,NA,Female,Edwards and Leilvaux (2013)
Dactyloidae,anolis,Anolis sagrei,Pleurodont,Insectivorous,5.85,Mean,56.66,NA,Male,Edwards and Leilvaux (2013)
Dactyloidae,anolis,Anolis sagrei,Pleurodont,Insectivorous,1.369,Mean,42.02,NA,Female,Edwards and Leilvaux (2013)
Dactyloidae,anolis,Anolis carolinensis,Pleurodont,Insectivorous,4.74,Mean,62.58,6.94,Male,Herrel et al. (2007)
Dactyloidae,anolis,Anolis equestris,Pleurodont,Insectivorous,37.09,Mean,116.03,15.99,NA,Herrel ad O'Reilly (2005)
Dactyloidae,anolis,Anolis lineatopus,Pleurodont,Insectivorous,3.4,Mean,51.6,6.34,Male,Herrel et al. (2006)
Dactyloidae,anolis,Anolis lineatopus,Pleurodont,Insectivorous,1.66,Mean,44.02,5.12,Female,Herrel et al. (2006)
Dactyloidae,anolis,Anolis carolinensis,Pleurodont,Insectivorous,2.59,Mean,55.36,5.82,Female,Herrel et al. (2007)
Dactyloidae,anolis,Anolis garmani,Pleurodont,Insectivorous,11.05,Mean,84.05,10.58,NA,Herrel ad O'Reilly (2005)
Dactyloidae,anolis,Anolis sheplani,Pleurodont,Insectivorous,1.02,Mean,38.61,4.46,Male,Huyghe et al. (2007a)
Dactyloidae,anolis,Anolis sheplani,Pleurodont,Insectivorous,0.96,Mean,37.4,4.27,Female,Huyghe et al. (2007a)
Teiidae,aspidoscelis,Aspidoscelis tigris,Pleurodont,Insectivorous,7.554,Mean,65.7,9.23,NA,Meyers and Irschick (2015)
Teiidae,aspidoscelis,Aspidoscelis sexlineata,Pleurodont,Insectivorous,4.33,Mean,65.4,7.26,Male,Gowan et al. (2010)
Teiidae,aspidoscelis,Aspidoscelis flagellicaudus,Pleurodont,Insectivorous,7.068,Mean,58.8,8.65,NA,Meyers and Irschick (2015)
Chamaeleonidae,bradypodion,Bradypodion melanocephalum,Acrodont,Insectivorous,10.37,Mean,49.14,6.98,Male,da Silva et al. (2014)
Chamaeleonidae,bradypodion,Bradypodion melanocephalum,Acrodont,Insectivorous,13.88,Mean,57.47,6.89,Female,da Silva et al. (2014)
